Type,Notes,Distance (miles) From Start,Elevation (ft),Description
Start,Start of route,0,0,""
Right,Turn right toward Route 5720,0.36,19.03,
Left,Turn left toward Route 5720,1.35,2.95,
Straight,"At the roundabout, take the 1st exit onto Route 5720",1.53,29.86,
Left,Turn left onto Kohav HaYam/‫כוכב הים‬‎,1.80,29.86,
Right,Turn right onto Almog/‫אלמוג‬‎,2.38,89.90,
Left,Turn left onto Derech Hahol/‫דרך החול‬‎,2.50,86.29,
Straight,"At the roundabout, take the 2nd exit onto Derech HaKfar/‫דרך הכפר‬‎/Route 5720",2.73,63.65,
Straight,"At the roundabout, take the 1st exit",3.47,31.17,
Straight,Continue straight onto Route 5720,3.75,26.57,
Right,Slight right toward Route 4,4.51,32.15,
Straight,Continue straight onto Route 4,4.56,37.07,
Right,Slight right onto Route 5700,4.64,45.28,
Straight,Continue onto Route 4,6.38,41.99,
Left,Turn left onto Route 5711,6.57,50.52,
Right,Turn right to stay on Route 5711,7.56,58.07,
Right,Turn right onto HaAlon/‫האלון‬‎,9.40,108.60,
Straight,"At the roundabout, take the 2nd exit onto Hahorev/‫החורב‬‎",9.85,99.08,
Left,Turn left onto HaAtsmaut/‫העצמאות‬‎/Route 57,11.09,145.67,
Left,Turn left onto Route 5714,14.58,120.73,
Left,Turn left onto Route 5803,17.12,137.80,
Right,Turn right onto Route 581,20.61,145.01,
Left,Turn left onto Route 574,25.94,130.58,
Right,Turn right onto Route 6353,27.86,143.04,
Right,Slight right,30.28,376.31,
Left,Turn left toward HaYarden/‫הירדן‬‎,30.47,369.42,
Straight,Continue straight onto HaYarden/‫הירדן‬‎,30.90,352.36,
Right,Turn right toward Route 6353,31.52,328.74,
Left,Turn left onto Route 6353,32.03,373.36,
Left,Turn left onto Route 574,34.46,142.72,
Right,Turn right onto Route 6403,35.84,152.89,
Left,Turn left onto Route 65,37.69,161.75,
Right,Turn right onto Derech HaNadiv/‫דרך הנדיב‬‎/Route 652,38.29,159.78,
Straight,"At the roundabout, take the 1st exit onto Route 653",42.31,62.99,
Left,Turn left toward Route 6533,46.80,277.56,
Left,Turn left onto Route 6533,48.41,409.78,
Left,Turn left onto Rakefet/‫רקפת‬‎,49.84,235.56,
Left,Turn left onto Kalanit/‫כלנית‬‎/Route 6533,50.11,277.89,
Straight,Make a U-turn,52.74,129.59,
Left,Route 6533 turns slightly left and becomes Route 654,53.59,93.18,
Right,Turn right onto Route 653,54.77,146.33,
Straight,"At the roundabout, take the 1st exit onto Route 652",57.16,63.32,
Right,Turn right to stay on Route 652,62.64,111.55,
Left,Turn left to stay on Route 652,62.76,101.05,
Left,Turn left onto Route 70,63.13,80.05,
Right,Turn right onto Route 4,64.52,36.42,
Left,Turn left onto Route 7011,65.55,72.51,
End,End of route,67.43,6.23,""
