Type,Notes,Distance (miles) From Start,Elevation (ft),Description
Start,Start of route,0,0,""
Straight,פנה שמאלה לעבר כביש 5720,1.32,2.95,
Straight,"בכיכר, צא ביציאה הראשונה אל כביש 5720",1.50,29.86,
Straight,פנה בפנייה ה-1 שמאלה אל כוכב הים,1.77,29.86,
Straight,פנה ימינה אל אלמוג,2.34,89.90,
Straight,פנה בפנייה ה-2 שמאלה אל דרך החול,2.47,86.29,
Straight,פנה ימינה כדי להישאר בדרך החול,2.56,76.44,
Straight,"בכיכר, צא ביציאה השניה אל דרך הכפר/כביש 5720",2.69,63.65,
Straight,"בכיכר, צא ביציאה הראשונה",3.44,31.17,
Straight,המשך ישר בכביש 5720,3.72,26.57,
Straight,בצע פניה קלה ימינה לעבר כביש 4,4.48,32.15,
Straight,המשך ישר בכביש 4,4.53,37.07,
Straight,פנייה מתונה ימינה אל כביש 5700,4.61,45.28,
Straight,המשך אל כביש 4,6.35,41.99,
Straight,פנה שמאלה אל כביש 5711,6.54,50.52,
Straight,פנה ימינה כדי להישאר בכביש 5711,7.52,58.07,
Straight,פנה ימינה אל האלון,9.37,108.60,
Straight,"בכיכר, צא ביציאה השניה אל החורב",9.82,99.08,
Straight,פנה שמאלה אל העצמאות/כביש 57,11.06,145.67,
Straight,פנה שמאלה אל כביש 5714,14.54,120.73,
Straight,פנה שמאלה אל כביש 5803,17.09,137.80,
Straight,פנה ימינה אל כביש 581,20.57,145.01,
Left,Turn left onto Route 574,25.91,130.58,
Left,Turn left onto Route 6403,26.44,156.82,
Left,Turn left onto Route 65,28.27,161.75,
Right,Turn right onto Derech HaNadiv/‫דרך הנדיב‬‎,28.87,159.78,
Straight,Enter Route 652,30.63,203.74,
Straight,צא מהכיכר אל דרך הנדיב/כביש 652,30.73,202.43,
Straight,"בכיכר, צא ביציאה הראשונה אל כביש 653",32.96,62.99,
Straight,פנה בפנייה ה-1 שמאלה לכיוון כביש 6533,37.45,277.56,
Straight,פנה שמאלה אל כביש 6533,39.06,409.78,
Straight,פנה שמאלה אל רקפת,40.49,235.56,
Straight,פנה בפנייה ה-2 שמאלה אל כלנית,40.76,277.89,
Straight,ב-כביש 6533 קיימת פנייה קלה שמאלה ואז הוא הופך לכביש 654,44.15,93.18,
Straight,פנה ימינה אל כביש 653,45.33,146.33,
Straight,"בכיכר, צא ביציאה השלישית אל כביש 652/כביש 653",47.72,63.32,
Straight,"בכיכר, צא ביציאה השלישית והישאר בכביש 652/כביש 653",48.00,62.34,
Straight,פנה בפנייה ה-1 שמאלה אל הולינט,52.26,494.09,
Straight,פנה שמאלה,52.32,511.15,
End,End of route,52.34,510.17,""
