Type,Notes,Distance (miles) From Start,Elevation (ft),Description
Start,Start of route,0,0,""
Straight,פנה ימינה אל ביאליק,0.37,-302.49,
Straight,פנה ימינה אל ארליך,0.45,-265.09,
Straight,פנה שמאלה אל שמעון דהאן,0.57,-227.36,
Straight,פנה שמאלה בצומת ה-2 אל נייברג,0.63,-207.68,
Straight,פנה ימינה אל ביאליק,0.77,-264.76,
Straight,"בכיכר, צא ביציאה הראשונה אל יהודה הנשיא",0.89,-278.87,
Straight,פנה שמאלה אל טרומפלדור,1.03,-198.16,
Straight,פנייה מתונה שמאלה אל דרך הגבורה,1.29,-207.68,
Straight,בצע פניית פרסה בהדקל,2.14,42.98,
Straight,בצע פנייה חדה שמאלה כדי להישאר בדרך הגבורה,2.56,-141.73,
Straight,פנה שמאלה,3.36,229.33,
Straight,פנייה מתונה שמאלה אל כביש 7677,6.39,187.99,
Straight,פנה ימינה אל כביש 90,8.74,-669.62,
Straight,"בכיכר, צא ביציאה הראשונה והישאר בכביש 90",12.53,-662.40,
End,End of route,28.69,-415.68,""
